input|output
   Be well.|  Hey! Stop that!
   Hey! Stop that!| I don't understand. That crazy mama almost killed him.
  He feels cold.| What are we supposed to do now, man? We can't bring him home, or he'll... or he'll...
  What are we supposed to do now, man? We can't bring him home, or he'll... or he'll...| Dang it! Why doesn't she love him? I love him!  You love him! It's not fair!  Ahhhh!
  Finn, wait!| Mama's supposed to love baby! She's supposed to love baby!
   Oh, man!| It's yours, idiot!
  It's yours, idiot!| Don't you recognize your own baby?
   Finn! I figured it out, dude. It's the juice. The Jiggler needs to smell like its mama's juice. That's how wild animals know what’s going on... and this guy right here is all drained out. We gotta toss it in the soup, brother.| Alright. Ok.  I loved you, baby. I hope you know that.
  Alright. Ok.  I loved you, baby. I hope you know that.|  Word to your motheeeerrrrr!
  Awww...| I'll never kidnap again.
 Other| Unhand Princess Bubblegum!!
 Other|  Whoa!  Ah!
  Huh? Hee hee hee!| Hey, Ice King! I bet you'll never kiss the princess!
 Other|  You just kissed Jake's butt!
  What a patoot. Thanks for saving the day yet again, boys.| You're welcome, Princess.  Uh... 
  That paper crane for Princess Bubblegum?| I just thought I'd bring 'er a gift... in return for throwing us this party.
  Heh. I bet you wish you were my butt.| What?
  I bet you wish you were my butt, because then the princess would... No, wait... I bet you wish you were the Ice King and the princess was my butt!| What?!
  Hmm...  OH! I bet you wish Bubblegum would kiss you, too! Like the Ice King and my butt! Hahahaha!| That's ridiculous!  Huh? Uggghhh!!  What's so funny?
  Who's ready to party?!| What's everyone laughing at?
  Oh! I feel so great!| Who is that guy?
  Greetings, party-goers! Glad you could all make it!| Princess Bubblegum!  Princess. I just wanted to thank you for—
   Oh, my gosh! PB, ya gotta check out this super cute guy. You're gonna love 'im. | Uhhh...
   It would be my pleasure, Princess.| Why didn't the princess invite me to dance?
  If you wanna dance, just go dance!| But now she's dancing with him! Ah... I feel... weird!
  Huh, it sounds like you're dealing with some new emotions you don't understand... like jealousy.| BLAAAARGH!!
  Correct!| Agh!  They're talkin' about science, man! I can't compete with that!
  Do the Science Dance! Remember it? It was sorta like this.  Wah unh we ah eeh...| You think that'll work?
  Yeah! Probably.  Do it, man! You're a pro!|  Science Dance! Science Dance!
   —lower proximities to—| Science Dance! Hey, eh, Princess! You wanna spend some time with me?
  Oh, uh... Alright!  Finn, what the cabbage? I was learning about Zanoits!|  Oh... I'm... into Zanoits! Th-They're the best!
  Zanoits kill hundreds of thousands of Plantoids a year.| Oh, no, not the Plantoids!
  Plantoids produce mellotoxin!  Mellotoxin kills Zanoits!!| ...So are Zanoits... good things?
   You're totally jealous of Ricardio.| No, I'm not. I just don't like the way he talks to you. It makes me feel weird.
  That's jealousy, hun.| I'm not jealous! I'M WEIRD!!!
   Woof! Man... This is goin' bad. Hey, Finn. You gotta come help me slay these peanut monsters at the bar. It can't wait.  Wow, man, what happened out there?| Agh... I don't know! I was tryin' to warn 'er, but she twisted my words around and—
  Yeah. Ladies are twisty, man. Bubblegum's super smart, too.| I know! And I can't shake this weird feeling about Ricardio. I think he's... a villain.
  Why? Is it because his face is so foldy and dramatic?| No! I can just feel it in my gut! He's up to something sinister!
  Maybe what you feel is romantic rivalry.| I'll prove he's a villain!
  How?| Stakeout.
  Stakeout.| Here he comes!  They're talking!
"  Lemme see.  I can read their lips.  ""Hey, shorty, you should pick your boogers and then fart!""  ""You look kind of like a big pink baguette!"""|  Get serious, Jake!! This is life and death!
  Is it? Don't get me wrong. I'm all about stakeouts and spying on this guy, but what if he's not a villain? What if he just looks wicked? Some people look wicked but are super nice.| I gotta trust my gut!
   Hmm.| He's on the move! Let's roll!  I see 'im. He's holding rope and going into the trash. He's smashing bottles—and pretending to stab someone!
  So... he's recycling... or what?|  I think your gut's a little naive, Jake.  Holy moly! He's... he's with the Ice King! They're shouting something!  Ricardio is tossing him in the dumpster and running away!
  So I was right! He is a good guy who's just cursed to look suspicious!  You and me, gut! Together forever! Solvin' crimes and makin' up rhymes!| No way. This proves he's a super-villain! More powerful than lesser villains like the Ice King!
  No way. This proves he's a super-villain! More powerful than lesser villains like the Ice King!| Then it's settled! We're gonna confront Ricardio face-to-face and prove he's evil!
  Oof!| So what're you doin', Ricardio? Are you evil?
  That's none of your business.| The safety of Princess Bubblegum is my business!
  Yeah.  Yes!| You stay away from Princess Bubblegum with all that stuff!
  Now that my plan is nearly complete, there is no way you could stop me.| I could stop you if I wanted!
  Oh, yeah?| Yeah!
  Oh, yeah??| YEEEAAAH!!!
   What's going on here?| Princess?!
  Finn... why'd you do it?| He was gonna hurt you with those ropes and bottles!
  Finn... you shouldn't punch brainiacs. You know how fragile they are! You gotta stop this jealous business.| But...
  C'mon, Ricardio. I'll patch you up and give you candy. |  She hates me now. I was totally wrong about Ricardio.
 Other| Ice King! What do you know about this? Tell me or I'll do something!
  Hold up, Finn! The Ice King looks sorta damaged!| I don't care! I only care about Ricardio!
 Other|  Agh! Come on, Jake!  Gotta save the princess!
  Princess Bubblegum!!| Princess!! 
  You were right all along, Finn! Now I'm going to cut out Princess Bubblegum's heart and make out with it!| Not if I can help it!
  Shut your mouth up, Princess!  I'm gonna smooch that heart!! It will be my bride!!| Why don't you marry someone your own size?! Like my foot?!
  Huh?!| And my fist?!
 Other| Ice King.  Should we... let 'im take his heart back? He is... villainous...
 Other| No, she won't!
  Thanks again for saving me... again.|  Don't mention it.
  Now that Ricardio's gone, you don't have to be jealous of anyone anymore. | I never get jealous.
   Kiss me, Finn.  Ahem.  I mean... kiss me, Finn.  Am I doing it right, Jake?| NOOOOOOOO!!!
  Yeah!  Yeah!| I found another bike and more computers. What do you got?
  WHAT THE HECK, MAN?! And they're all lefties! Sorry I'm not finding any loot.| Keep it together, chubby, because I think we found enough scrap to finish building our gauntlet dock; a dock that is also a gauntlet.
  Aww. Building this gauntlet dock is hard, man. Hard work sucks.| Don't be lazy, Jake.
  Don't be lazy, Jake.| Huh?
  Incoming iceberg!| Whoa! That one's huge!
   It's a guy.| Creepy. It's a buncha guys.
  You know what they remind me of? Well-dressed pickles.| Stand back, Jake! I'm gonna melt 'em outta there! Full charge.
  Ah. Perfecto. Bon appetit.| Hey! Can you hear me? Hello?
   I don't think they made it.| Hey.  This one's got some kind of pack.
  I remember... business.| Let go! Let go! Let go!
 We... are Business Men.| Oooh... Well, I'm Finn and he's Jake.
  Been frozen... so long, I...  can't remember. Can't remember! Oh. Looking for help, your business? We love work for you.| Nah. Adventurers don't need any help.
  Yes. This dock-ka... could be more... efficient.| No! Wait!
  No! Wait!| Jake, this dock is our fun pie. We should be the ones to bake it.
  Finn. These poor souls are lost without jobs. We can't ignore their plight.| Uhh...
  Woo!| Well... they do seem really happy to do it.
   Uhh... We finish.| Whoa!
  Told ya so.| Come on! Let's try it out!
   Yeah! Woo!  See? If we hire them full time, they'll be back in business and we'll be able to focus on fun stuff. Everybody wins!| Maybe you're right.
  Help! Somebody help!| Trouble, dude! Get your axe! I'll get my... wha?
  Adventure pack... ready for you.| Hey, thanks man.
  Hey, thanks man.| I have to say, Jake. My sword is totally shiny and stinkin' sharp!
  Uh huh.| Even my shoes feel different. Not only are they clean, I feel radder, faster, more... adequate.
  Help!| Don't cry, Hot Dog Princess! Jake and I will fend off these battle cubes!
   Me too. These cubes are... frickin' resilient. Hey, business dudes! Hold off these cubes so we can catch our breath?| Jake! They don't know how to fight.
  These guys are great, right?| I gotta admit... they are helping.  Oh! I think I figured out how to defeat the battle cubes!
  That's 'cause you had time to rest your body and refresh your brain.|  Ok! We'll take it from here, guys!
  Yeah! Good work.| Grab all the cubes together!
  Got 'em!| It worked!
  It worked!| Wake up, Hot Dog Princess. You're free.
   I take one for team.| This is awesome! You get a promotion, fella.
  Oh... Lost again!|  My turn.
  Freakin' awesome, man.| What are they doing?
  Takin' care of business.| Jake, hit me!
  Yeah!| We beat Adventure Master!
  Holy moly!| We're adventure masters!
   Ooo.| I never knew being fat and lazy was so rewarding.
  Yeah.  You're gut's so huge and moldable.| Hey!
  Hold on a sec!|  Man, that tickles.
   I'm the Ice King, and I'll never find a bride because I'm such a tool.|  Alright, let me try.
   Alright, let me try.|  I'm Princess Bubblegum and I'm a dork, because I like science! I've also got a really annoying voice that Finn thinks is attractive!
  Man, I am not in the mood for saving Lumpy Space Princess.| Hey, business dudes!
  Hey, business dudes!| What do you guys think?
  Ahh. Nice call, dude.| Imagine how awesome the adventure's going to be when it's time for us to go out there.
  Help us!| Huh? Jake! Did you hear that?
  Help! Please!| I heard it again.
   Woo-hoo! Woo!| Jake! We messed up! The businessmen have gone bat-crazy, dude!
   Man, just let the businessmen handle it.| THE BUSINESSMEN ARE THE PROBLEM, you lazy plug-hole!
   Huh?|  Guys!
   Guys!| Guys, stop it!
  Guys, stop it!|  Stop it, guys!
  Stop what, boss?| You're jacking up those Fuzzy Friends!
  But... We're being heroes. Like you, boss. We're protecting them. Collecting them in our care-sack so they cannot be hurt. It's the most efficient way to save people.| But you're making them unhappy!
  Irrelevant! These people are in our care-sack. Their happiness is not priority.| I am your boss! And you guys are all fired!
  Nooo! Alright, guys. Now I've gotta take you down... Finn style.| I'm kicking your care-sack, dudes!
  Ahh. I'm so fat, dude; I don't know what to do.|  That's it! Jake! Demoralize them!
  What? Why?| Do it, man! I have a legit plan!
  Huh? They're sucking me up, dude!| Now, eat that ice cream some more to become fatter, while also using your Stretchy Powers to grow huge!
  This sucks.| Yeah, dude! Keep growin'! You're breaking apart their robot!
   I'm going to kill you, not-boss!| Wait, man! Wait! I wanna re-hire you guys!
  Re-hire? Really?| Yeah, mans.
  So, wait... What'd you hire them to do?| I hired them to stuff themselves in that iceberg and get outta here.
   I'm gonna miss 'em. And I'm gonna miss this gut.|  I'm gonna miss my gut too.
   I'm gonna miss my gut too.| Huh? Aww...
  Who are these guys? This is a great fight!| Yeah! You never fought them? They come out every day at four o’clock on the dot.
 I guess that's because I meet Lady Rainicorn every day at four o'clock on the dot. Oh shoot! I'm late!| You should stay, man. At five o'clock every day, I chop both their heads off, and they grow them back for the next day.
  Aw, man, that sounds awesome! I do want to stay and fight those guys, but I also want to hang out with my girlfriend.| Boo!
   I should probably go. I'll see ya later, buddy. | Bye! Hyaaaaaaaaah! 
  Ah, isn't this great? This is totally great.  Isn't it?| Yeah.
"  맞아. (""You’re right."") "|  What? What did she say?
  She said she also thinks it's great.| Oh.
  Hmm...  Hey, did you know that you both have an awesome sense of humor?| We do?
  Yeah! Anybody have a joke?| Oh, I have a joke!  Okay,  okay. Knock knock.
"  She said, ""who's there?"""| Diarrhea!
